id,name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,latitude,longitude,availability_365,calculated_host_listings_count
1329224787686307845,Near CDMX Events | Private Room 1,Venustiano Carranza,Private room,477.84,1.0,41,4.95,19.41721,-99.12385,333,35
1329238732155216710,Un excelente lugar en Coyoacán,Coyoacán,Entire home/apt,1810.0,1.0,31,4.94,19.35141,-99.16148,350,1
1329310010632850869,Se renta amplio departamento,Cuajimalpa de Morelos,Entire home/apt,1825.88,1.0,0,4.84,19.3859593,-99.2646905,365,1
1329391851680842987,"Refugio acogedor en Centro, CDMX",Cuauhtémoc,Entire home/apt,1347.0,1.0,37,4.78,19.43335728338472,-99.14464525452456,154,1
1329687245341624420,VH | Roma Norte with comfort and style 1 BR | 174,Cuauhtémoc,Entire home/apt,1465.2,1.0,24,4.71,19.41729,-99.15553,288,21
1329691764616919975,VH | Style and comfort department + GYM | 341,Cuauhtémoc,Entire home/apt,1444.0,1.0,10,4.9,19.41801,-99.15434,232,21
1329715455869148673,"Confortable recámara, cercana a la Universidad.",Coyoacán,Private room,840.96,1.0,14,5.0,19.33895047236976,-99.18524488806725,352,1
1329744872251237835,Descanso en CDMX,Miguel Hidalgo,Entire home/apt,1517.27,1.0,44,4.98,19.44571320274096,-99.190212988701,341,1
1334535354675521488,Loft Minimalista en Nuevo Polanco con Amenidades,Miguel Hidalgo,Entire home/apt,1123.0,5.0,0,4.84,19.4412483,-99.1865551,364,1
1334800560546923434,Cómoda habitación cerca del Auditorio Nacional. 3,Miguel Hidalgo,Private room,1584.0,1.0,16,4.44,19.43218,-99.19992,316,13
1334806671655121403,"Estancia privada y cómoda en Polanco, CDMX. 4",Miguel Hidalgo,Private room,1584.0,1.0,13,4.31,19.432599452002176,-99.1998069743579,320,13
1334817450870886051,Habitación tranquila en Polanco cerca de Soumaya 6,Miguel Hidalgo,Private room,1780.0,1.0,17,4.18,19.43431,-99.20052,322,13
1334832217909613530,"Renta de habitación bonita, económica en Polanco 8",Miguel Hidalgo,Private room,1100.0,1.0,9,4.44,19.43217,-99.1998,322,13
1334834625618310741,Pequeña habitación acogedora en Polanco. 9,Miguel Hidalgo,Private room,1100.0,1.0,8,4.63,19.43385,-99.19997,321,13
1334854971847858325,cómodo en planta baja,Tlalpan,Entire home/apt,385.71,7.0,12,4.58,19.28084,-99.18007,297,2
1334879178105544968,Cómodo y Moderno CDMX,Iztapalapa,Entire home/apt,939.5,2.0,12,4.75,19.3815939,-99.0369748,264,1
1334888223189952724,Confortable habitación en el centro de Polanco. 12,Miguel Hidalgo,Private room,1424.0,1.0,15,4.33,19.4332016,-99.2007435,317,13
1334900565062378257,Habitación tranquila y económica en Polanco. 14,Miguel Hidalgo,Private room,1100.0,1.0,7,4.29,19.433684829385637,-99.19966653637069,322,13
1334906356155525826,Golden Hour Apt w/Private Terrace | Rooftop+Gym,Cuauhtémoc,Entire home/apt,2820.84,1.0,656,4.7,19.4186149,-99.1647728,365,12
1329855712491620552,Pleasant apartment in La Condesa,Cuauhtémoc,Entire home/apt,1369.41,1.0,2,4.0,19.406881001132884,-99.17733130254084,312,59
1329930075590332795,"Modern Mexican loft:pool, gym, and top location",Cuauhtémoc,Entire home/apt,1695.0,2.0,26,4.81,19.43319381474701,-99.15515261212012,357,1
1329938493580394865,Departamento céntrico acogedor,Venustiano Carranza,Entire home/apt,1199.0,1.0,94,4.74,19.4106731,-99.1229214,316,1
1330086145558104403,Cuarto con 2 camas individuales,Miguel Hidalgo,Private room,948.0,1.0,87,4.68,19.42866815518247,-99.20164851068157,338,7
1330262334964742232,"Roma Paradise: A/C, City Views, Gym & Top Location",Cuauhtémoc,Entire home/apt,4184.75,1.0,75,4.99,19.4202602,-99.1695817,202,163
